127.0.0.1 - - [05/Oct/2015:09:12:54 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:12:55 +0530] "GET /Cleansheet/ HTTP/1.1" 200 722
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:12:55 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:13:04 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:13:04 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2935
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:13:04 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 200 1780
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:11 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:11 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:11 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:27 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:27 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:27 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:58 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:58 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:15:58 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:17 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:17 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:17 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2502
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:40 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:40 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:40 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2500
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:57 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:57 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:16:57 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:17:38 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:17:38 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:17:38 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 2760
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:59:41 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4098
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:59:41 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:09:59:41 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 3013
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:08 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:08 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:02:08 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 3372
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:30 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:30 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:30 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 3370
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:43 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:43 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:03:43 +0530] "GET /Cleansheet/css/homestyle.css HTTP/1.1" 200 3371
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:05:14 +0530] "POST /Cleansheet/Login HTTP/1.1" 200 4132
0:0:0:0:0:0:0:1 - - [05/Oct/2015:10:05:14 +0530] "GET /Cleansheet/js/Map.js HTTP/1.1" 304 -
