127.0.0.1 - - [26/Oct/2015:09:11:39 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:11:41 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:11:41 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:11:41 +0530] "GET /Cleansheet/images/7253052_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:19:57 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:19:57 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:19:57 +0530] "GET /Cleansheet/images/7253052_l.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:19:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:28:54 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:28:54 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2309
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:28:54 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 200 1748185
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:13 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:13 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:13 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:30 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:30 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2304
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:30 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:58 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:58 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2305
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:29:58 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:30:23 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:30:23 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2312
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:30:23 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:31:22 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:31:22 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2438
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:31:22 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:32:30 +0530] "GET /Cleansheet/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:32:30 +0530] "GET /Cleansheet/css/style.css HTTP/1.1" 200 2445
0:0:0:0:0:0:0:1 - - [26/Oct/2015:09:32:30 +0530] "GET /Cleansheet/images/trucks.jpg HTTP/1.1" 200 1748185
